key,value
metadata.projectName,Canon B2B EDS
metadata.repoUrl,https://github.com/Magento-ECG-Team/canon-b2b-eds.git
metadata.appUrl,https://main--canon-b2b-eds--magento-ecg-team.aem.live/
metadata.auditDate,2026-06-02
metadata.auditorName,Vijay Rameshkumar
metadata.auditVersion,2.0.0
metadata.projectType,New Build
metadata.projectManager,
metadata.architectLead,
metadata.currentPhase,Development
summary.browserAudit.total,47
summary.browserAudit.passed,39
summary.browserAudit.failed,8
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,101
summary.codeAudit.failed,42
summary.codeAudit.notApplicable,0
summary.manualAudit.total,64
summary.manualAudit.passed,0
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,64
summary.overall.total,254
summary.overall.passed,140
summary.overall.failed,50
summary.overall.notApplicable,64
summary.overall.mandatoryFailed,45
summary.overall.criticalFailed,13
summary.overall.highFailed,25
summary.overall.mediumFailed,12
scores.overall,70
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,
scores.visualDesign,
scores.setup,
scores.development,74.6
scores.architectureReview,
scores.testing,
scores.security,82.6
scores.performance,75
scores.accessibility,54.5
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,50
browser.accessibility.skipLinksImplemented,0
browser.accessibility.lighthouseAccessibilityScore,0
browser.accessibility.wcagViolationsCritical,
browser.accessibility.wcagViolationsTotal,
browser.security.inlineScriptsWithoutNonce,1
browser.security.formActionsUseHttps,1
browser.security.cspHeaderPresent,1
browser.security.cspHasUnsafeDirectives,0
browser.security.xContentTypeOptionsPresent,0
browser.security.xFrameOptionsOrCspFrameAncestors,0
browser.security.referrerPolicyPresent,0
browser.security.zeroJsErrorsInConsole,1
browser.security.noDeprecatedApiWarnings,1
browser.security.mixedContentDetected,0
browser.security.tlsCertificateValid,1
browser.security.sensitiveDataInClientStorage,0
browser.security.cookieSameSiteSecureFlags,1
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,1
browser.performance.cssDeliveryOptimized,1
browser.performance.unusedJsRemoved,1
browser.performance.webfontUsesWoff2,1
browser.performance.lighthousePerformanceScore,
browser.performance.lcpMs,
browser.performance.clsScore,0.000
browser.performance.inpMs,
browser.performance.longTasksOnMainThread,0
browser.performance.tbtWithinBudget,1
browser.performance.ttfbMs,2
browser.performance.lighthouseSeoScore,
browser.performance.lighthouseBestPracticesScore,
browser.performance.totalPageWeightKb,1159
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,6
browser.performance.resourcesOverHttp2OrHttp3,1
browser.performance.unusedJsCssPercent,
browser.performance.fcpMs,56
browser.performance.speedIndexMs,
browser.performance.duplicateNetworkRequests,0
browser.development.metaDescriptionPresent,1
browser.development.metaDescriptionLength,91
browser.development.faviconPresent,0
browser.development.canonicalUrlPresent,1
browser.development.hreflangImplemented,1
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,1
browser.development.customErrorPagesExist,1
browser.development.responsiveAtAllBreakpoints,1
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,1
browser.development.noConsoleLogInProduction,1
browser.development.noViolationMessagesInConsole,
browser.development.noForcedSyncLayoutsInFlameChart,1
browser.development.noExcessiveRepaintsOnScroll,1
browser.development.noDetachedDomNodes,1
browser.development.preloadedResourcesConsumed,1
browser.development.webFontsLoadWithoutFoit,1
code.html.semantics.semanticToDivRatioPass,1
code.html.semantics.headingHierarchyCorrect,1
code.html.semantics.singleH1PerPage,1
code.html.structure.domSourceOrderMatchesTabOrder,0
code.html.structure.criticalContentInRawHtml,1
code.html.structure.excessiveDomDepth,0
code.html.forms.radioCheckboxHaveFieldsetLegend,0
code.html.forms.allInputsHaveLabels,0
code.html.forms.missingLabelsCount,184
code.html.forms.placeholderUsedAsLabel,0
code.html.forms.errorMessagesLinkedToInputs,0
code.html.forms.interactiveElementsHaveAccessibleNames,1
code.html.forms.inlineStylesCount,39
code.html.media.decorativeImagesHaveEmptyAlt,1
code.html.media.altTextQualityPass,1
code.html.media.missingOrInvalidAltCount,0
code.html.media.tablesHaveTheadTbody,1
code.html.media.tableHeadersUseTh,1
code.html.media.listsUseUlOrOlCorrectly,1
code.html.media.imgElementsHaveDimensionsForCls,
code.html.metadata.pageTitlePresent,1
code.html.metadata.pageTitleQualityPass,1
code.html.metadata.metaViewportConfigured,1
code.html.metadata.charsetDeclaredInHead,0
code.html.metadata.langAttributeValid,1
code.html.metadata.dirAttributeForRtl,1
code.html.metadata.duplicateIdsCount,121
code.html.metadata.invalidHtmlNestingCount,0
code.html.metadata.htmlValidationErrorCount,0
code.html.metadata.ariaRolesDontDuplicateSemantics,0
code.html.metadata.noAriaMisuse,1
code.html.metadata.ariaUsedOnlyWhenNecessary,1
code.html.metadata.metaTagsDoNotBlockZoom,1
code.html.metadata.brokenLinksCount,0
code.css.tokens.cssVarsUsedForColors,0
code.css.tokens.cssVarsUsedForSpacing,0
code.css.tokens.cssVarsUsedForTypography,0
code.css.tokens.cssVarsUsedForFontFamily,1
code.css.tokens.hardcodedHexOrRgbCount,43
code.css.tokens.hardcodedPixelSpacingCount,28
code.css.maintainability.namingConventionsConsistent,1
code.css.maintainability.classNamesAvoidColorOrPosition,1
code.css.maintainability.selectorsColocatedInSameFile,1
code.css.maintainability.printStylesheetHidesNonEssential,1
code.css.layout.modernLayoutUsed,1
code.css.layout.mobileFirstMediaQueries,1
code.css.layout.standardBreakpointsOnly,1
code.css.layout.responsiveImagesByDefault,1
code.css.layout.zIndexEscalationIssues,1
