key,value
metadata.projectName,Subway
metadata.repoUrl,
metadata.appUrl,https://main--digital-ecomm-eds--Subway-Technology.aem.page
metadata.auditDate,2026-06-02
metadata.auditorName,Mohamed Khalid
metadata.auditVersion,2.0.0
metadata.projectType,Migration
metadata.projectManager,Sathya Prakash Murthy
metadata.architectLead,Deepak Sharma
metadata.currentPhase,Development
summary.browserAudit.total,0
summary.browserAudit.passed,0
summary.browserAudit.failed,0
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,102
summary.codeAudit.failed,41
summary.codeAudit.notApplicable,0
summary.manualAudit.total,64
summary.manualAudit.passed,64
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,0
summary.overall.total,207
summary.overall.passed,166
summary.overall.failed,41
summary.overall.notApplicable,0
summary.overall.mandatoryFailed,37
summary.overall.criticalFailed,17
summary.overall.highFailed,15
summary.overall.mediumFailed,9
scores.overall,84.4
scores.discovery,100
scores.contentQuality,100
scores.internationalization,100
scores.design,100
scores.userExperience,100
scores.visualDesign,100
scores.setup,100
scores.development,76.1
scores.architectureReview,100
scores.testing,100
scores.security,66.7
scores.performance,100
scores.accessibility,66.7
scores.authorValidation,100
scores.preGoLive,100
scores.postGoLive,100
scores.processGovernance,60
browser.accessibility.skipLinksImplemented,
browser.accessibility.lighthouseAccessibilityScore,
browser.accessibility.wcagViolationsCritical,
browser.accessibility.wcagViolationsTotal,
browser.security.inlineScriptsWithoutNonce,
browser.security.formActionsUseHttps,
browser.security.cspHeaderPresent,
browser.security.cspHasUnsafeDirectives,
browser.security.xContentTypeOptionsPresent,
browser.security.xFrameOptionsOrCspFrameAncestors,
browser.security.referrerPolicyPresent,
browser.security.zeroJsErrorsInConsole,
browser.security.noDeprecatedApiWarnings,
browser.security.mixedContentDetected,
browser.security.tlsCertificateValid,
browser.security.sensitiveDataInClientStorage,
browser.security.cookieSameSiteSecureFlags,
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,
browser.performance.cssDeliveryOptimized,
browser.performance.unusedJsRemoved,
browser.performance.webfontUsesWoff2,
browser.performance.lighthousePerformanceScore,
browser.performance.lcpMs,
browser.performance.clsScore,
browser.performance.inpMs,
browser.performance.longTasksOnMainThread,
browser.performance.tbtWithinBudget,
browser.performance.ttfbMs,
browser.performance.lighthouseSeoScore,
browser.performance.lighthouseBestPracticesScore,
browser.performance.totalPageWeightKb,
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,
browser.performance.resourcesOverHttp2OrHttp3,
browser.performance.unusedJsCssPercent,
browser.performance.fcpMs,
browser.performance.speedIndexMs,
browser.performance.duplicateNetworkRequests,
browser.development.metaDescriptionPresent,
browser.development.metaDescriptionLength,
browser.development.faviconPresent,
browser.development.canonicalUrlPresent,
browser.development.hreflangImplemented,
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,
browser.development.customErrorPagesExist,
browser.development.responsiveAtAllBreakpoints,
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,
browser.development.noConsoleLogInProduction,
browser.development.noViolationMessagesInConsole,
browser.development.noForcedSyncLayoutsInFlameChart,
browser.development.noExcessiveRepaintsOnScroll,
browser.development.noDetachedDomNodes,
browser.development.preloadedResourcesConsumed,
browser.development.webFontsLoadWithoutFoit,
code.html.semantics.semanticToDivRatioPass,1
code.html.semantics.headingHierarchyCorrect,1
code.html.semantics.singleH1PerPage,1
code.html.structure.domSourceOrderMatchesTabOrder,0
code.html.structure.criticalContentInRawHtml,1
code.html.structure.excessiveDomDepth,1
code.html.forms.radioCheckboxHaveFieldsetLegend,0
code.html.forms.allInputsHaveLabels,1
code.html.forms.missingLabelsCount,0
code.html.forms.placeholderUsedAsLabel,0
code.html.forms.errorMessagesLinkedToInputs,0
code.html.forms.interactiveElementsHaveAccessibleNames,1
code.html.forms.inlineStylesCount,0
code.html.media.decorativeImagesHaveEmptyAlt,1
code.html.media.altTextQualityPass,0
code.html.media.missingOrInvalidAltCount,0
code.html.media.tablesHaveTheadTbody,0
code.html.media.tableHeadersUseTh,0
code.html.media.listsUseUlOrOlCorrectly,1
code.html.media.imgElementsHaveDimensionsForCls,
code.html.metadata.pageTitlePresent,1
code.html.metadata.pageTitleQualityPass,1
code.html.metadata.metaViewportConfigured,1
code.html.metadata.charsetDeclaredInHead,0
code.html.metadata.langAttributeValid,1
code.html.metadata.dirAttributeForRtl,1
code.html.metadata.duplicateIdsCount,0
code.html.metadata.invalidHtmlNestingCount,0
code.html.metadata.htmlValidationErrorCount,0
code.html.metadata.ariaRolesDontDuplicateSemantics,0
code.html.metadata.noAriaMisuse,0
code.html.metadata.ariaUsedOnlyWhenNecessary,0
code.html.metadata.metaTagsDoNotBlockZoom,1
code.html.metadata.brokenLinksCount,0
code.css.tokens.cssVarsUsedForColors,1
code.css.tokens.cssVarsUsedForSpacing,1
code.css.tokens.cssVarsUsedForTypography,1
code.css.tokens.cssVarsUsedForFontFamily,1
code.css.tokens.hardcodedHexOrRgbCount,21
code.css.tokens.hardcodedPixelSpacingCount,220
code.css.maintainability.namingConventionsConsistent,1
code.css.maintainability.classNamesAvoidColorOrPosition,1
code.css.maintainability.selectorsColocatedInSameFile,1
code.css.maintainability.printStylesheetHidesNonEssential,1
code.css.layout.modernLayoutUsed,1
code.css.layout.mobileFirstMediaQueries,0
code.css.layout.standardBreakpointsOnly,1
code.css.layout.responsiveImagesByDefault,1
code.css.layout.zIndexEscalationIssues,0
code.css.performance.noExpensiveBoxShadows,1
code.css.performance.noHeavyCssFilters,1
code.css.performance.noInfiniteAnimationsOnNonLoaders,1
code.css.performance.cssCompatibilityIssuesCount,0
